Index,Author,Title,Publication,Volume,Issue,Year,Pages,Multiple_Tools,DOI,File_Type,Tool_Name,Tool_Type,Organization/Group,University/Institute,Distribution_Method,Article_Purpose,File_Name,Text_File,File_Path,Notes,Problematic,
1,"Ross Jr., Donald; Rasche, Robert H. ",EYEBALL: A Computer Program for Description of Style,Computers and the Humanities,6,4,1972,213-221,n/a,n/a,pdf,EYEBALL,NLP; style,n/a,University of Maryland,journal,Present tool and development,CHUM v6 n4 p213-221.pdf,CHUM-v6-n4-p213-221.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool.,-,
2,"Iker, Howard P.",SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis. I. Statistical Results,Computers and the Humanities,8,5-6,1974,313-319,n/a,n/a,pdf,SELECT,statistics; keyword; correlation,n/a,University of Rochester School of Medicine,journal,Present tool and development,CHUM v8 n5-6 p313-319.pdf,CHUM-v8-n5-6-p313-319.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Builds on WORDS. This article is part one of two.,-,
3,"Iker, Howard P.",SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis. II. Substantive Results,Computers and the Humanities,9,1,1975,3-12,n/a,n/a,pdf,SELECT,statistics; keyword; correlation,n/a,University of Rochester School of Medicine,journal,Present tool and development,CHUM v9 n1 p3-12.pdf,CHUM-v9-n1-p3-12.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Builds on WORDS. This article is part two of two.,-,
4,"Day, Colin; Marriott, Ian",Software Reviews: COCOA: A Word Count and Concordance Generator,Computers and the Humanities,10,1,1976,56,n/a,n/a,pdf,COCOA,statistics; concordance; KWIC,Atlas Computer Laboratory,University College Cardiff,journal,Review,CHUM v10 n1 p56.pdf,CHUM-v10-n1-p56.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool.,-,
5,"Venezky, Richard L.; Relles, Nathan; Price, Lynne",LEXICO: A System for Lexicographic Processing,Computers and the Humanities,11,3,1977,127-137,n/a,n/a,pdf,LEXICO,concordance; editing; lemmatization,Madison Academic Computing Center,University of Wisconsin,journal,Present tool and development,CHUM v11 n3 p127-137.pdf,CHUM-v11-n3-p127-137.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool.,-,
6,"Logan, Harry M. ",KLIC: A Computer Aid to Graphological Analysis,Computers and the Humanities,12,1-2,1978,93-96,n/a,n/a,pdf,KLIC,concordance; lemmatization; graphological analysis,Waterloo Arts Computing Office,University of Waterloo,journal,Present tool and development,CHUM v12 n1-2 p93-96.pdf,CHUM-v12-n1-2-p93-96.txt,JWDTD-TA-Development-Corpus/CHum/keep,"Legacy tool. Article appears to have been written by the spouse of the developer, a support staffer; it's unclear whether he had a direct role in development.",-,
7,"Cary, Charles D.",Software Review: A User's View of WORDS,Computers and the Humanities,13,2,1979,129-130,n/a,n/a,pdf,WORDS,statistics; association,n/a,University of Rochester School of Medicine,journal,Review,CHUM v13 n2 p129-130,CHUM-v13-n2-p129-130.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Related to SELECT.,-,
8,"Burnard, L. D. ",Software Review: CLOC,Computers and the Humanities,14,4,1980,259-260,n/a,n/a,pdf,CLOC,collocation; statistics; concordance,Birmingham University Computing Centre,Birmingham University,journal,Review,CHUM v14 n4 p259-260.pdf,CHUM-v14-n4-p259-260.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Described as similar to COCOA and OCP.,-,
9,"O'Brien, Frank.",Software Reviews: Oxford Concordance Program,Computers and the Humanities,20,2,1986,138-141,*,n/a,pdf,Oxford Concordance Program,concordance,Oxford University Computing Centre,Oxford University,journal,Review,CHUM v20 n2 p111-145.pdf,CHUM-v20-n2-p111-145(a).txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Hugely influential; influenced in turn by COCOA and CLOC.,-,
10,"Stringer, Gary A.; Vilberg, William R.",The Donne Variorum Textual Collation Program,Computers and the Humanities,21,2,1987,83-89,n/a,n/a,pdf,DV-COLL (Donne Variorum Textual Collation Program),collation,The Donne Variorum,University of Southern Mississippi et al.,journal,Present tool and development,CHUM v21 n2 p83-89.pdf,CHUM-v21-n2-p83-89.txt,JWDTD-TA-Development-Corpus/CHum/keep,Legacy tool. Originally built for Donne Variorum and opened to other projects.,-,
