PK,Tool,Article Title,Article Author(s),Issue,Pages,Year,Context Discussed In,Relationship to Subject,Purpose of Article,FK,Notes
1,SELECT,SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis. II. Substantive Results,Howard P. Iker,9.1,3-12,1975,Subject of article,Subject,Tool development,1,SELECT spun out from WORDS' development
2,WORDS,SELECT: A Computer Program to Identify Associationally Rich Words for Content Analysis. II. Substantive Results,Howard P. Iker,9.1,3-12,1975,Similar tool,Ancestral,Tool development,2,"Iker developed WORDS first, with SELECT following from a feature that couldn’t be included."
3,COCOA,Software Reviews: COCOA: A Word Count and Concordance Generator,Colin Day; Ian Marriott,10.1,56,1976,Subject of article,Subject,Software review,3,
4,PRORA I-VI,Reviews,David Lieberman,1.1,12,1966,Subject of article,Subject,Software review,4,PRORA IV-VI were in the planning stages at time of review. Mentioned as forthcoming.
5,PL/I,Prospect,n/a,1.2,17,1966,Journal issue overview article,Mentioned,Issue overview,5,Described as 'of general interest to the humanistic community'
6,PL/I,PL/I: A Programming Language for Humanities Research,Jack Heller; George W. Logemann,1.2,19-27,1966,Subject of article,Subject,Describe tool,5,"Features PL/I programming language as uniquely useful to a variety of humanistic activities, either by itself or to develop tools"
7,OPS-3,Reviews,John C. Wells,1.3,109-110,1967,Subject of article,Subject,Book review,6,"Review of a book describing MIT's OPS-3 system, ""On-Line Computation and Simulation: The OPS-3 System"""
8,PL/I,"Computers, Traditional Scholarship, and the ACLS",Thomas J. Condon,1.4,123-126,1967,Using tools in scholarship,Mentioned,Tool development,5,Article is more generally on computers and traditional scholarship
9,PL/I,Musicology and the Computer in New Orleans,Marian W. Cobin,1.4,131-133,1967,Using tools in scholarship,Mentioned,Computer-assisted research,5,Brief mention as an example of a string-handling language.
10,SNOBOL3,The Programming Language SNOBOL3,Allen Forte,1.5,157-163,1967,Subject of article,Subject,Describe tool,7,Features SNOBOL3 programming language as a text-handling tool.
11,PL/I,Letter to the Editor,G. A. Dobbert,1.5,264,1967,Using tools in scholarship,Mentioned,Computer-assisted research,5,"Author of letter asks how important it is for humanists to learn to program, and proposes this as a question to address in future issues."
12,SNOBOL,New Hardware for the Humanities,Bernard Wishy,2.1,1-11,1967,Hardware for scholarship,Mentioned,Computer hardware,7,"Name-dropped as examples of software developments, in contrast to lack of ease of learning of hardware developments"
13,General Inquirer,New Hardware for the Humanities,Bernard Wishy,2.1,1-11,1967,Hardware for scholarship,Mentioned,Computer hardware,8,"Name-dropped as examples of software developments, in contrast to lack of ease of learning of hardware developments"
14,General Inquirer,Winged Words: Varieties of Computer Application to Literature,Louis T. Milic,2.1,24-31,1967,Using tools in scholarship,Mentioned,Computer-assisted research,8,Used in a pilot content analysis study conducted by Sally Sedelow of Chapel Hill.
15,SNOBOL,Winged Words: Varieties of Computer Application to Literature,Louis T. Milic,2.1,24-31,1967,Using tools in scholarship,Mentioned,Computer-assisted research,7,"Milic argues that ""the scholar must learn to become his own programmer,"" with SNOBOL as an example of a suitable language ""which can be acquired even by the stiff reflexes of the middle-aged scholar."""
16,General Inquirer,Reviews: Literary Analysis with the Aid of the Computer: Review Symposium,Charles Kadushin; Joseph Lovett; James D. Merriman,2.4,177-202,1968,Subject of article,Subject,Book review; Tool review,8,"This is three related reviews presented as a single article, all on the General Inquirer. They address both the published guide and the program itself."
17,FORTRAN,A Computer-Assisted Graphemic Analysis of Beowulf: Purpose and Procedure,Edward A. Kline,2.4,211-213,1968,Using tools in scholarship,Mentioned,Computer-assisted research,9,"Proposing a programmed method of analyzing Beowulf, including two programs that attempt to address the limitations of FORTRAN for the purpose."
18,SNOBOL3,Robert W. Hsu,A New String Manipulation Language,2.5,256-262,1968,Subject of article,Subject,Tool review; Book review,7,Discusses SNOBOL3 as a string-manipulation language.
19,PL/I,Robert W. Hsu,A New String Manipulation Language,2.5,256-262,1968,Subject of article,Mentioned,Tool review; Book review,5,Mentions uses of SNOBOL3 for tasks previously done with PL/I
20,FORTRAN,Robert G. Chenhall,The Impact of Computers on Archaeological Theory: An Appraisal and Projection,3.1,15-24,1968,Using tools in scholarship,Mentioned,Computer-assisted research,9,Author mentions programming in FORTRAN as part of anthropology graduate programs.
21,FORTRAN,Stephen V. F. Waite,Computers and the Classics,3.1,25-29,1968,Using tools in scholarship,Mentioned,Computer-assisted research,9,"From page 27: ""Nathan Greenberg has worked out a program in FORTRAN which analyzes correctly the meter of over 90 percent of the lines of Aeneid I without recourse to extensive dictionaries."""
22,FORTRAN,Hugh F. Cline,Computer Instruction for Scholars in the Humanities,3.1,31-40,1968,Using tools in scholarship,Mentioned,Computer-assisted research,9,FORTRAN mentioned as a common language known by academic computer users without formal computer instruction.
23,VIA,Dolores M. Burton,Respice Finem and the Tantum Quantum: An essay review of computational stylistics for 1967-1968,3.1,41-48,1968,Using tools in scholarship,Mentioned,Computer-assisted research,10,"Mentioned in context of Sally Sedelow and Walter Sedelow's essay ""Stylistic Analysis,"" which includes a description of this program."
24,MAPTEXT,Dolores M. Burton,Respice Finem and the Tantum Quantum: An essay review of computational stylistics for 1967-1968,3.1,41-48,1968,Using tools in scholarship,Mentioned,Computer-assisted research,11,"Mentioned in context of Sally Sedelow and Walter Sedelow's essay ""Stylistic Analysis,"" which includes a description of this program."
25,STRIP,Aldo Duro,Current Computing Activity in Scandinavia Related to Language and Literature Research,3.1,53-60,1968,Using tools in scholarship,Mentioned,Computer-assisted research,12,Mentioned as a language developed for the purpose of string manipulation for linguistic research.
26,STRIL,Aldo Duro,Current Computing Activity in Scandinavia Related to Language and Literature Research,3.1,53-60,1968,Using tools in scholarship,Mentioned,Computer-assisted research,13,Mentioned as a conversational programming system under development for linguisitics applications.
27,FORTRAN,n/a,News and Notes,3.2,104,1968,Using tools in scholarship,Mentioned,Computer-assisted research,9,"Announcement of a workshop on programming languages, techniques and analysis for humanities research."
28,PL/I,n/a,News and Notes,3.2,104,1968,Using tools in scholarship,Mentioned,Computer-assisted research,5,"Announcement of a workshop on programming languages, techniques and analysis for humanities research."
29,BIBCON,Richard L. Venezky,Computer-Aided Humanities Research at the University of Wisconsin,3.3,129-138,1969,Using tools in scholarship,Mentioned,Computer-assisted research,14,Article surveys humanities projects using computers at the University of Wisconsin.
30,KWIC,Richard L. Venezky,Computer-Aided Humanities Research at the University of Wisconsin,3.3,129-138,1969,Using tools in scholarship,Mentioned,Computer-assisted research,15,Article surveys humanities projects using computers at the University of Wisconsin.
31,COMIT,n/a,New Course Established,3.4,242,1969,Using tools in scholarship,Mentioned,Computer-assisted research,16,"Details a new course for humanists, including programming instruction"
32,FORTRAN,Georgette Silva,Phontrns: An Automatic Orthographic-to-Phonetic Conversion Systems for French,3.5,257-265,1969,Using tools in scholarship,Instrumental,Computer-assisted research,9,"FORTRAN was instrumental to the process described, but not the focus of the article."
33,COBOL,Georgette Silva,Phontrns: An Automatic Orthographic-to-Phonetic Conversion Systems for French,3.5,257-265,1969,Using tools in scholarship,Mentioned,Computer-assisted research,17,"Mentioned as alternatives prefereable to FORTRAN for this project, but not available to the researcher."
34,PL/I,Georgette Silva,Phontrns: An Automatic Orthographic-to-Phonetic Conversion Systems for French,3.5,257-265,1969,Using tools in scholarship,Mentioned,Computer-assisted research,5,"Mentioned as alternatives prefereable to FORTRAN for this project, but not available to the researcher."
35,SNOBOL4,Georgette Silva,Phontrns: An Automatic Orthographic-to-Phonetic Conversion Systems for French,3.5,257-265,1969,Using tools in scholarship,Mentioned,Computer-assisted research,7,"Mentioned as alternatives prefereable to FORTRAN for this project, but not available to the researcher."
