"","October.2014","November.2014","December.2014","January.2015","February.2015","March.2015","totals"
"people",0.0253716294135777,0.0274782966506724,0.0237684538608867,0.0228722701863159,0.0209995895108715,0.0212788584329604,0.0238762711834725
"just",0.0197419940386893,0.0182734397355159,0.0181254929018633,0.0175726745100012,0.0181374783038718,0.0196701519793932,0.0185380740647341
"like",0.0149750546158656,0.0162928834770764,0.0163760630410549,0.0179999496953424,0.0168421750105854,0.0190599680089261,0.0168475408754697
"games",0.00993393028083202,0.0106669212814613,0.0128737044597166,0.00958712452289176,0.0126237527756499,0.0137853634299313,0.0114092310350605
"game",0.00903721634958508,0.00993736712536744,0.0116676475136753,0.0088328690632644,0.0148139708520397,0.0132475298445338,0.0110144425005648
"women",0.00995332052896597,0.00868133973102272,0.00914461976841747,0.0105394545717502,0.0118419649177244,0.00996343254634129,0.00995027053784757
"ethics",0.00918247312069375,0.00795917571022156,0.00808831401846138,0.0117706610660815,0.00836735221583325,0.00848112134379944,0.00902719038170675
"want",0.00839835870054041,0.00907952022059258,0.00977546417622497,0.00801730480220837,0.00895035990523196,0.00873086092599776,0.00881616560687281
"know",0.00944475174018972,0.007860739108123,0.0098482404584346,0.00904729266620973,0.00833705036087489,0.00795200467226583,0.00876549631100674
"gamers",0.00920390444757863,0.00742412991503118,0.00816563881830911,0.00783495041847187,0.0102194015908878,0.00735097346135574,0.00832359934129915
"think",0.00886508537492235,0.00798696261892206,0.00851517490449862,0.00812860385710962,0.00799888165953967,0.00763601654470251,0.008206791436889
"good",0.00835685676593793,0.00804933536079232,0.0082643066624587,0.008159101055769,0.00763323927637554,0.00769747078744241,0.00805110593910695
"support",0.0080792700558099,0.00773303757026541,0.0065645606096973,0.00893253516609969,0.00505394538232052,0.00733702639917364,0.0073800880174704
"gaming",0.00693456505632357,0.00616514646656939,0.00634588187709625,0.00686690016411895,0.00932569888198276,0.00952671516176413,0.00736450195526275
"media",0.0107394760278703,0.0060575460967079,0.00591167338564362,0.00741081927422955,0.00839522992239493,0.00498258796455703,0.00728166816397938
"video",0.00682978968044191,0.00617519705056744,0.00756488460410752,0.00812954706943929,0.0075512222556216,0.00631453240294806,0.00709971402202713
"journalism",0.0087344563348621,0.00626772154443186,0.00610341089838822,0.00741081927422955,0.00725022382970196,0.00612799044626241,0.00699907592747286
"time",0.00626509122601477,0.00706171768027792,0.00697217776726565,0.00705680024649282,0.00727002104160808,0.00735925452952637,0.00697911175790351
"actually",0.00498499466938266,0.00577051324194002,0.0076271643071523,0.00689551093811898,0.00797908444763355,0.00808624514576859,0.0067836146705124
"new",0.0061154121176124,0.00657692480507779,0.00667267537509526,0.00845998578893423,0.00562523635446868,0.00621864635044609,0.00667783959665373
"harassment",0.00910219068982339,0.00801415831679914,0.00426056148301269,0.00584885965629343,0.00590158927168886,0.00586212457341603,0.0065791278693386
"right",0.00699409651989269,0.00651218721991387,0.00606317401158962,0.00630537442385447,0.00573028278499097,0.00769267648481732,0.00652670733052784
"make",0.00561160584592169,0.00701146476028766,0.00621607418142427,0.00570486257396357,0.00685549166577781,0.00715484289941989,0.00639262049573018
"remember",0.00548778040169791,0.00579002319911271,0.00692494316102382,0.00574007583427131,0.00531050108763458,0.00560105300319475,0.00582364166300365
"hey",0.00495880082541225,0.00573444938171172,0.00538754419934543,0.00630820406084348,0.00595936480847612,0.0066531845065573,0.00580554548590862
"say",0.00621610533599218,0.00688583246031202,0.00495263593594847,0.00483522080600638,0.00547857537647025,0.00575882914412981,0.00571337173225363
"going",0.00601131710131439,0.00637709554676359,0.00596030753577409,0.00508454326514956,0.00512626580948779,0.00527634796176762,0.00567665400518018
"stop",0.00656887178011323,0.00567532829937024,0.0056908953372096,0.0050068854500066,0.00464911260007693,0.00655076076865746,0.00567612863229677
"hate",0.00533299859641818,0.00543943518082774,0.00612790291643953,0.0048543994567097,0.00585957069947994,0.00590963175397382,0.00555108988604662
"really",0.00586708086958119,0.00578706714499564,0.00567305115262936,0.00531248624482019,0.00537958931693963,0.00506104018933137,0.00553754694060776
"gg",0.00433150928928958,0.00611784960069621,0.00467447658807994,0.00569134319723827,0.00539777042991464,0.00522317478719834,0.00526744690377329
"got",0.00579734401225736,0.00434894681703917,0.00507299671037209,0.00442743867547837,0.0058676511941355,0.00467444505947115,0.00499588749781824
"shit",0.00417706766380167,0.00515210672064816,0.00507229693842777,0.00444315888097289,0.00574240352697431,0.00459817206316276,0.00485094295676356
"need",0.00469618202612445,0.00518698815922963,0.005289226241168,0.0047515893127755,0.00422407858119443,0.00466398476283457,0.00482981129189776
"look",0.00499383934397008,0.00451478145300702,0.00423327037718408,0.00534612748457848,0.00530201656824624,0.00425123889138289,0.00478281960621551
"anti",0.00367768372940466,0.00502943047478959,0.00728882457207196,0.00486697562110532,0.00375419781697356,0.00350637860171985,0.00475602558916191
"oh",0.00382362086009698,0.0041582813264879,0.00584204607718345,0.00537631027912797,0.00457275192558188,0.00435322678358954,0.00469391483939059
"sjws",0.00226491705396136,0.00435663255774356,0.00670591454245062,0.00475284692921506,0.00397317922213926,0.00524148030631235,0.00452632088958472
"gawker",0.00774317242148821,0.00615243543386597,0.00490085281206855,0.0013006898026171,0.00426892532653279,0.00143044556505215,0.00441120585335442
"twitter",0.00408521912000931,0.00629284800442699,0.00395021262570528,0.00322358533870755,0.0039909563103815,0.00472064470294937,0.00441015510758761
"fucking",0.00395595079911635,0.00411364490932008,0.00505795161356914,0.0042538876068188,0.00484062032341372,0.00393481491812639,0.00435125496988154
"love",0.0047662590632401,0.00542642854271262,0.00455201649782336,0.00330910325659777,0.00396429067801815,0.00365848874864343,0.00432609544624297
"real",0.00446554012726806,0.00434569515751039,0.00435887944119012,0.00369707792820268,0.00482567140830093,0.00370904684905356,0.00423211207487848
"anita",0.0050605145831675,0.0023148859790806,0.00427910543953725,0.00583062421791978,0.00469759556801029,0.00232872353871835,0.00411261893128648
"industry",0.00314122019769889,0.00408526678979617,0.00343692990454411,0.00386937138042269,0.00430609560194837,0.0054332524113163,0.00398746343550668
"fuck",0.00358413428665318,0.00411985262296594,0.00392921946737558,0.00371531336657633,0.00377318697941413,0.00404334049573089,0.00386067344631185
"guys",0.00429340915260534,0.00408142391944398,0.00380745914906332,0.00368575938024662,0.00383136654093417,0.00310365718121156,0.00383154443866534
"day",0.00336267724217603,0.00460316747110753,0.00366785464617081,0.0034971169143123,0.00353158018921286,0.00409607782460698,0.00380615141596748
"trying",0.00397772230579306,0.00395283556535126,0.00361992026798466,0.00354993680477391,0.00401560181908096,0.00353993872009554,0.00378052489421033
"article",0.00401684298185277,0.0031748021217374,0.0036615566986719,0.00405204016826908,0.00439417299369398,0.00308709504487031,0.00372781248157546
"let",0.00360114327624436,0.00318426149491204,0.00423711912287785,0.00311857436600411,0.00321967309550821,0.00448310880016039,0.00359833725319879
"read",0.00416312029233691,0.00324692984219401,0.00368080042714079,0.00303525727688312,0.00392590832840423,0.00320651676480459,0.00352992202882663
"sjw",0.00209754859638416,0.00322771549043303,0.0044229085740957,0.00387848909960951,0.00383217459039973,0.00368681871870083,0.00350283613794891
"wu",0.00327116887817549,0.00135032552067937,0.00338164792094256,0.00286139180411366,0.00645914340292255,0.00464742262649332,0.00347913598343091
"said",0.00337832551259992,0.00333974994147013,0.0029495387453229,0.00308273229747659,0.00357117461302511,0.0037874990738279,0.00332695297153822
"bad",0.00377497514986621,0.00305685556246615,0.00304820658947249,0.00333174035250989,0.0041711513412005,0.00250872781000615,0.00331726276057765
"gamer",0.00372394818109267,0.00270981480912167,0.00290685265671918,0.00413630046971974,0.00332148732816828,0.00247255261747131,0.00323816495424294
"news",0.00306161812641217,0.00284431527144854,0.00316611816209097,0.00508548647747923,0.0030414981883531,0.00174294692706994,0.0032323858525255
"way",0.00305855650828576,0.00322741988502132,0.00317556508333934,0.00312360483176236,0.0037626823363619,0.00300472020885726,0.00321802566037912
"help",0.0026738131637333,0.00316002185115203,0.00288795881422245,0.00359772622947727,0.00387257706367753,0.00285784021025196,0.00317494508393999
"white",0.00313407642207059,0.00293802218695978,0.00285157067311763,0.00301199137275122,0.00335623345518719,0.00393525076381958,0.00316496299915532
"devs",0.00154815823258909,0.00388868919101076,0.0026482869232917,0.00130194741905666,0.00391055538855867,0.00596847092255458,0.00308154546022373
"use",0.00307964765537882,0.00323096714996181,0.00310138925724107,0.00301199137275122,0.00253929544550999,0.003385649344706,0.00306350765789352
"link",0.0010331260277682,0.00298295420953931,0.00474725287028957,0.00395929095585137,0.00262696881252283,0.00200401849729122,0.00294144602464933
