PK;Tool;Name;Short;Full;Type;Developer;Institute;Location;Earliest Mention;System;Related To;Notes;
1;SELECT;SELECT;SELECT;;"content analysis; multivariate reduction";Howard P. Iker;University of Rochester;USA;1974;Mainframe;2;;
2;WORDS;WORDS;WORDS;;content analysis;Howard P. Iker et al;University of Rochester;USA;1974;Mainframe;1;;
3;COCOA;COCOA;COCOA;cocoa;"word count; concordance; markup";"G.L.M. Berry-Roghe; T. D. Craford";"University College Cardiff; ATLAS Computer Laboratory";Wales;1976;Punched card computer;50;;
4;"PRORA; PRORA I-IV; PRORA I-VI";PRORA;PRORA;prora;"text processing; system; concordance; word tagging";"Robert J. Glickman; Gerrit Joseph Staalman";University of Toronto;Canada;1966;"Punched card computer; magnetic tape";;"I. - Card to tape processing; II. - Tape printouts to standard format; III. - Tape printouts to a special format for text processing; IV - Constructing, updating & tagging of master word lists; V. - Use the master word lists to create dictionaries, word indexes and word frequencies; VI. - Partial or complete concordances.  Known via Glickman and Staalman's Manual for the Printing of Literary Texts by Computer (University of Toronto Press, 1966)";
5;"PL/I; PL1";PLI;PL/I;pl1;"programming language; string processing; list processing";John Nash;Hursley Laboritories (IBM);UK;1966;compiler;;"Described as ""a programming language reportedly more suited to humanistic programs than those currently in use. It also seems much easier for humanists to master, with the desirable prospect that they will be able to do their own programming""  (CHum 1.2 p17)";* see Wikipedia for list of mentions and functionality http://en.wikipedia.org/wiki/PL/I
6;"OPS-3 System; OPS-3";OPS_3;OPS-3;OPS-3 System;computing system;"Martin Greenberger; Malcolm M. Jones; James H. Morris, Jr.; David N. Ness";MIT;USA;1967;time-sharing facilities;;John C. Wells argues that this system, despite its design for numeric data, has a great deal of value for humanities work.;
7;"SNOBOL; SNOBOL3;  SNOBOL4; SNOBOL4+";SNOBOL;SNOBOL;snobol;"programming language; string processing";;;USA;1967;;;"Alan Forte wrote a guide called ""SNOBOL3 Primer: An Introduction to the Computer Programming Language"". Expands to ""StriNg Oriented symBOlic Language""";
8;General Inquirer;General_Inquirer;;General Inquirer;"content analysis; co-occurrence; frequency";"Philip J. Stone; Dexter C. Dunphy; Marshall S. Smith; Daniel G. Ogilvie";Harvard;USA;1967;Punched card computer;;;
9;"FORTRAN; FORTRAN IV";FORTRAN;FORTRAN;fortran;;;;;;;"14;24";"Programming language commonly mentioned and used in humanistic studies in the 1960s. FORTRAN expands to ""FORmula TRANslator""";
10;VIA;VIA;VIA;;concordance;Sally Sedelow;;;1968;;;"Co-authored the essay ""Stylistic Analysis"" with Walter Sedelow on indexing and concordance construction, including details of this program.";
